LON [°E],LAT [°N],TIEFE [KM],MAGNITUDE
9.474999999999999645e+00,4.706700000000000017e+01,8.000000000000000000e+00,2.306704000000000046e-02
8.836000000000000298e+00,4.777900000000000347e+01,8.000000000000000000e+00,6.442368600000000223e-01
8.592000000000000526e+00,4.686500000000000199e+01,4.000000000000000000e+00,8.151902300000000157e-01
9.910999999999999588e+00,4.642799999999999727e+01,1.000000000000000000e+01,1.668386399999999936e+00
9.487000000000000099e+00,4.706199999999999761e+01,7.000000000000000000e+00,1.997970800000000047e+00
9.487000000000000099e+00,4.706199999999999761e+01,7.000000000000000000e+00,1.776852400000000110e+00
6.891000000000000014e+00,4.603699999999999903e+01,5.000000000000000000e+00,9.232779700000000034e-01
9.493000000000000327e+00,4.706099999999999994e+01,7.000000000000000000e+00,1.207844700000000104e+00
7.139000000000000234e+00,4.626700000000000301e+01,3.000000000000000000e+00,1.372020000000000017e+00
7.152000000000000135e+00,4.715599999999999881e+01,8.000000000000000000e+00,2.756010499999999919e+00
7.150000000000000355e+00,4.715400000000000347e+01,1.000000000000000000e+01,3.186786899999999978e+00
7.155000000000000249e+00,4.715599999999999881e+01,1.000000000000000000e+01,2.294361199999999990e+00
7.157000000000000028e+00,4.715500000000000114e+01,8.000000000000000000e+00,1.883145099999999905e+00
7.152999999999999581e+00,4.715899999999999892e+01,8.000000000000000000e+00,1.639884899999999979e+00
7.152000000000000135e+00,4.713600000000000279e+01,7.000000000000000000e+00,1.093039199999999989e+00
7.145999999999999908e+00,4.715899999999999892e+01,8.000000000000000000e+00,1.762246900000000061e+00
7.145999999999999908e+00,4.715899999999999892e+01,9.000000000000000000e+00,1.823610699999999918e+00
7.145999999999999908e+00,4.715299999999999869e+01,1.000000000000000000e+01,1.193338999999999928e+00
7.137999999999999901e+00,4.715800000000000125e+01,7.000000000000000000e+00,1.767619899999999911e+00
7.149000000000000021e+00,4.715999999999999659e+01,8.000000000000000000e+00,2.167446200000000101e+00
7.153999999999999915e+00,4.715800000000000125e+01,7.000000000000000000e+00,1.884472300000000100e+00
7.136999999999999567e+00,4.716499999999999915e+01,1.000000000000000000e+01,1.275266299999999964e+00
7.152999999999999581e+00,4.715999999999999659e+01,7.000000000000000000e+00,1.410993399999999953e+00
7.551000000000000156e+00,4.664300000000000068e+01,-1.000000000000000000e+00,4.852329699999999857e-01
7.152000000000000135e+00,4.715599999999999881e+01,5.000000000000000000e+00,1.160528299999999957e+00
