JAHR,GLOBAL,NORD,SUED
1.850000000000000000e+03,-4.179999999999999827e-01,-4.359999999999999987e-01,-4.000000000000000222e-01
1.851000000000000000e+03,-2.330000000000000127e-01,-2.190000000000000002e-01,-2.469999999999999973e-01
1.852000000000000000e+03,-2.290000000000000091e-01,-2.359999999999999876e-01,-2.230000000000000038e-01
1.853000000000000000e+03,-2.700000000000000178e-01,-2.449999999999999956e-01,-2.949999999999999845e-01
1.854000000000000000e+03,-2.919999999999999818e-01,-1.749999999999999889e-01,-4.079999999999999738e-01
1.855000000000000000e+03,-2.969999999999999862e-01,-2.459999999999999964e-01,-3.479999999999999760e-01
1.856000000000000000e+03,-3.200000000000000067e-01,-3.340000000000000191e-01,-3.069999999999999951e-01
1.857000000000000000e+03,-4.670000000000000262e-01,-4.510000000000000120e-01,-4.829999999999999849e-01
1.858000000000000000e+03,-3.890000000000000124e-01,-3.589999999999999858e-01,-4.189999999999999836e-01
1.859000000000000000e+03,-2.810000000000000275e-01,-2.479999999999999982e-01,-3.150000000000000022e-01
1.860000000000000000e+03,-3.900000000000000133e-01,-4.590000000000000191e-01,-3.210000000000000075e-01
1.861000000000000000e+03,-4.289999999999999925e-01,-4.060000000000000275e-01,-4.530000000000000138e-01
1.862000000000000000e+03,-5.360000000000000320e-01,-7.019999999999999574e-01,-3.709999999999999964e-01
1.863000000000000000e+03,-3.439999999999999725e-01,-3.009999999999999898e-01,-3.870000000000000107e-01
1.864000000000000000e+03,-4.650000000000000244e-01,-4.620000000000000218e-01,-4.689999999999999725e-01
1.865000000000000000e+03,-3.330000000000000182e-01,-3.679999999999999938e-01,-2.979999999999999871e-01
1.866000000000000000e+03,-3.410000000000000253e-01,-3.739999999999999991e-01,-3.089999999999999969e-01
1.867000000000000000e+03,-3.569999999999999840e-01,-4.050000000000000266e-01,-3.089999999999999969e-01
1.868000000000000000e+03,-3.519999999999999796e-01,-3.589999999999999858e-01,-3.449999999999999734e-01
1.869000000000000000e+03,-3.170000000000000040e-01,-2.489999999999999991e-01,-3.840000000000000080e-01
1.870000000000000000e+03,-3.280000000000000138e-01,-3.119999999999999996e-01,-3.439999999999999725e-01
1.871000000000000000e+03,-3.689999999999999947e-01,-4.410000000000000031e-01,-2.959999999999999853e-01
1.872000000000000000e+03,-3.280000000000000138e-01,-3.569999999999999840e-01,-2.989999999999999880e-01
1.873000000000000000e+03,-3.410000000000000253e-01,-3.760000000000000009e-01,-3.069999999999999951e-01
1.874000000000000000e+03,-3.729999999999999982e-01,-2.939999999999999836e-01,-4.530000000000000138e-01
1.875000000000000000e+03,-3.760000000000000009e-01,-4.839999999999999858e-01,-2.680000000000000160e-01
1.876000000000000000e+03,-4.239999999999999880e-01,-4.349999999999999978e-01,-4.129999999999999782e-01
1.877000000000000000e+03,-1.010000000000000064e-01,-1.010000000000000064e-01,-1.010000000000000064e-01
1.878000000000000000e+03,-1.099999999999999936e-02,7.099999999999999367e-02,-9.400000000000000022e-02
1.879000000000000000e+03,-3.039999999999999925e-01,-3.360000000000000209e-01,-2.710000000000000187e-01
1.880000000000000000e+03,-3.160000000000000031e-01,-3.840000000000000080e-01,-2.479999999999999982e-01
1.881000000000000000e+03,-2.320000000000000118e-01,-2.839999999999999747e-01,-1.799999999999999933e-01
1.882000000000000000e+03,-2.959999999999999853e-01,-3.729999999999999982e-01,-2.179999999999999993e-01
1.883000000000000000e+03,-3.459999999999999742e-01,-4.269999999999999907e-01,-2.660000000000000142e-01
1.884000000000000000e+03,-4.919999999999999929e-01,-6.340000000000000080e-01,-3.499999999999999778e-01
1.885000000000000000e+03,-4.709999999999999742e-01,-5.100000000000000089e-01,-4.329999999999999960e-01
1.886000000000000000e+03,-4.209999999999999853e-01,-4.450000000000000067e-01,-3.960000000000000187e-01
1.887000000000000000e+03,-4.989999999999999991e-01,-4.939999999999999947e-01,-5.030000000000000027e-01
1.888000000000000000e+03,-3.790000000000000036e-01,-3.719999999999999973e-01,-3.860000000000000098e-01
1.889000000000000000e+03,-2.500000000000000000e-01,-2.600000000000000089e-01,-2.389999999999999902e-01
1.890000000000000000e+03,-5.070000000000000062e-01,-5.240000000000000213e-01,-4.899999999999999911e-01
1.891000000000000000e+03,-4.010000000000000231e-01,-4.119999999999999774e-01,-3.910000000000000142e-01
1.892000000000000000e+03,-5.080000000000000071e-01,-5.759999999999999565e-01,-4.390000000000000013e-01
1.893000000000000000e+03,-4.949999999999999956e-01,-5.570000000000000506e-01,-4.329999999999999960e-01
1.894000000000000000e+03,-4.839999999999999858e-01,-4.430000000000000049e-01,-5.250000000000000222e-01
1.895000000000000000e+03,-4.490000000000000102e-01,-4.450000000000000067e-01,-4.520000000000000129e-01
1.896000000000000000e+03,-2.839999999999999747e-01,-2.929999999999999827e-01,-2.750000000000000222e-01
1.897000000000000000e+03,-2.600000000000000089e-01,-2.520000000000000018e-01,-2.680000000000000160e-01
1.898000000000000000e+03,-4.859999999999999876e-01,-4.299999999999999933e-01,-5.410000000000000364e-01
1.899000000000000000e+03,-3.549999999999999822e-01,-3.330000000000000182e-01,-3.780000000000000027e-01
1.900000000000000000e+03,-2.340000000000000135e-01,-1.980000000000000093e-01,-2.710000000000000187e-01
1.901000000000000000e+03,-2.929999999999999827e-01,-2.149999999999999967e-01,-3.719999999999999973e-01
1.902000000000000000e+03,-4.390000000000000013e-01,-4.600000000000000200e-01,-4.179999999999999827e-01
1.903000000000000000e+03,-5.330000000000000293e-01,-5.050000000000000044e-01,-5.620000000000000551e-01
1.904000000000000000e+03,-5.979999999999999760e-01,-5.779999999999999583e-01,-6.169999999999999929e-01
1.905000000000000000e+03,-4.079999999999999738e-01,-4.030000000000000249e-01,-4.119999999999999774e-01
1.906000000000000000e+03,-3.190000000000000058e-01,-2.600000000000000089e-01,-3.780000000000000027e-01
