Longitude,Latitude
10.000000,46.287600
9.997500,46.288900
9.995000,46.291700
9.995280,46.296400
9.995000,46.300600
9.995000,46.305000
9.996110,46.309200
9.996110,46.313600
9.996380,46.318100
9.993330,46.320600
9.990010,46.323000
9.986940,46.325000
9.984450,46.328100
9.982500,46.331400
9.981950,46.334400
9.984160,46.337800
9.986390,46.340800
9.989170,46.343600
9.991390,46.346700
9.992780,46.350300
9.993610,46.354400
9.991940,46.357500
9.988620,46.360000
9.984730,46.361700
9.980290,46.363100
9.975560,46.365000
9.971660,46.366900
9.967220,46.368300
9.963330,46.370300
9.959440,46.372200
9.956390,46.374400
9.953060,46.376700
9.950000,46.379200
9.943890,46.380000
9.938610,46.379200
9.934450,46.377200
9.931110,46.375300
9.929720,46.372500
9.926390,46.371100
9.923050,46.373600
9.920560,46.376400
9.918060,46.379200
9.915560,46.381900
9.911120,46.383300
9.905000,46.383100
9.900280,46.381900
9.895550,46.380600
9.891660,46.378900
9.886950,46.377500
9.882220,46.376400
9.878050,46.374400
9.872790,46.373900
9.868060,46.372500
9.863340,46.371100
9.858060,46.370600
9.852780,46.369700
9.847500,46.369700
9.841380,46.370300
9.835550,46.369700
9.831390,46.368300
9.828060,46.365800
9.823900,46.364400
9.820550,46.362200
9.816390,46.360300
9.813060,46.358300
9.808900,46.356100
9.805000,46.354700
9.800840,46.353100
9.796110,46.351700
9.792780,46.349400
9.789440,46.347500
9.785280,46.345300
9.781110,46.343900
9.776670,46.342500
9.770550,46.342200
9.766110,46.343900
9.762220,46.345800
9.759720,46.348600
9.756940,46.351400
9.754440,46.354200
9.751380,46.356100
9.746670,46.358100
9.741660,46.358900
9.737500,46.357200
9.734720,46.354400
9.731400,46.352200
9.728620,46.349400
9.726390,46.346400
9.724160,46.343300
9.722770,46.339700
9.721390,46.335800
9.720560,46.331700
9.720270,46.328300
9.721390,46.324700
9.723890,46.322000
9.725830,46.318600
9.724160,46.315000
9.721390,46.312200
9.718610,46.309700
9.717220,46.305800
9.715010,46.302800
9.711670,46.300600
9.708340,46.298300
9.703060,46.297800
9.696940,46.297200
9.691660,46.298300
9.687790,46.300300
9.684720,46.302500
9.680830,46.304400
9.676110,46.305800
9.670280,46.305600
9.665550,46.304400
9.660840,46.303100
9.656950,46.301400
9.652780,46.299700
9.648620,46.297800
9.643880,46.296400
9.639990,46.295000
9.635280,46.293600
9.630550,46.292500
9.624720,46.292000
9.619440,46.293000
9.615550,46.295000
9.612220,46.297200
9.608330,46.299200
9.603050,46.299200
9.597220,46.298900
9.592490,46.297800
9.587780,46.296400
9.581950,46.296900
9.578060,46.298900
9.574170,46.300600
9.570840,46.303300
9.567770,46.305600
9.563060,46.307000
9.557780,46.307200
9.553890,46.305600
9.547220,46.305600
9.542500,46.307000
9.538610,46.308600
9.535560,46.311400
9.531670,46.313300
9.528330,46.315600
9.525280,46.317800
9.521390,46.319400
9.518880,46.322200
9.516400,46.325000
9.514440,46.328600
9.512500,46.331700
9.511940,46.335800
9.510830,46.339700
9.509730,46.342500
9.508610,46.346100
9.507500,46.349400
9.506110,46.353300
9.504450,46.356700
9.502490,46.360000
9.500560,46.363100
9.498050,46.365800
9.495000,46.368300
9.491660,46.370600
9.487790,46.372500
9.483890,46.374400
9.480000,46.376400
9.475560,46.377800
9.470830,46.379400
