"poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","kronendurchmesser","pflanzjahr","genauigkeit","objectid","geometry"
"WI-427","Parkbaum","Witikon","Witikonerstr.","Malus","domestica","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","WI-427","Obst","6","Obstbäume","6","1950","Luftbild","1351","POINT (2687627 1245542.5)"
"WI-428","Parkbaum","Witikon","Witikonerstr.","Malus","domestica","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","WI-428","Obst","6","Obstbäume","9","1950","Luftbild","1352","POINT (2687621.8 1245554)"
"WI-429","Parkbaum","Witikon","Witikonerstr.","Malus","domestica","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","WI-429","Obst","6","Obstbäume","10","1950","Luftbild","1353","POINT (2687615 1245565.2)"
"WI-487","Parkbaum","Witikon","","Juglans","regia","Juglas regia cv.","Walnuss-Obstgehölz, Sorte unbekannt","WI-487","Obst","6","Obstbäume","8","1950","Unbekannte Qualität","1979","POINT (2687308.8 1245443)"
"WI-497","Parkbaum","Witikon","","Juglans","regia","Juglas regia cv.","Walnuss-Obstgehölz, Sorte unbekannt","WI-497","Obst","6","Obstbäume","8","1975","Unbekannte Qualität","1980","POINT (2687239.5 1245434.5)"
"WI-498","Parkbaum","Witikon","","Prunus","domestica","Prunus domestica cv.","Sammelbegriff für Zwetschgen, Pflaume, Reneklode usw. (Sorte unbek.)","WI-498","Obst","6","Obstbäume","8","2000","Unbekannte Qualität","1981","POINT (2687223 1245438.8)"
"WI-499","Parkbaum","Witikon","","Pyrus","communis","Pyrus communis cv.","Birne-Obstgehölz, Sorte unbekannt","WI-499","Obst","6","Obstbäume","8","2000","Unbekannte Qualität","1982","POINT (2687214 1245443.6)"
"WI-500","Parkbaum","Witikon","","Pyrus","communis","Pyrus communis cv.","Birne-Obstgehölz, Sorte unbekannt","WI-500","Obst","6","Obstbäume","8","1950","Unbekannte Qualität","1983","POINT (2687205.5 1245448.5)"
"WI-523","Parkbaum","Witikon","","Malus","domestica","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","WI-523","Obst","6","Obstbäume","8","1950","Unbekannte Qualität","1984","POINT (2687181 1245438.8)"
"WI-622","Parkbaum","Witikon","","Prunus","avium","Prunus avium","Vogel-Kirsche, Süss-Kirsche","WI-622","Obst","6","Obstbäume","8","1975","Unbekannte Qualität","1985","POINT (2687110.8 1245454.6)"
"WI-623","Parkbaum","Witikon","","Prunus","domestica","Prunus domestica cv.","Sammelbegriff für Zwetschgen, Pflaume, Reneklode usw. (Sorte unbek.)","WI-623","Obst","6","Obstbäume","8","1975","Unbekannte Qualität","1986","POINT (2687154.5 1245438.1)"
"WI-628","Parkbaum","Witikon","","Juglans","regia","Juglas regia cv.","Walnuss-Obstgehölz, Sorte unbekannt","WI-628","Obst","6","Obstbäume","8","2000","Unbekannte Qualität","1987","POINT (2687172.2 1245347.4)"
"WI-505","Parkbaum","Witikon","","Pyrus","communis","Pyrus communis cv.","Birne-Obstgehölz, Sorte unbekannt","WI-505","Obst","6","Obstbäume","8","1950","Bildschirmeingabe","2126","POINT (2687164.2 1245476.6)"
"WI-504","Parkbaum","Witikon","","Malus","domestica","Malus domestica 'Gravensteiner'","Apfel-Obstgehölz 'Gravensteiner'","WI-504","Obst","6","Obstbäume","8","2004","Bildschirmeingabe","2127","POINT (2687173.8 1245469.8)"
"WI-503","Parkbaum","Witikon","","Malus","domestica","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","WI-503","Obst","6","Obstbäume","8","2000","Bildschirmeingabe","2128","POINT (2687178.8 1245466)"
