Timestamp,Value_NE5,Value_NE7
2014-12-31T23:15:00Z,22009.844,46078.668
2014-12-31T23:30:00Z,21809.923,45160.698
2014-12-31T23:45:00Z,21854.983,44388.694
2015-01-01T00:00:00Z,21975.938,44062.418
2015-01-01T00:15:00Z,22197.983,43462.382
2015-01-01T00:30:00Z,22449.448,43002.521
2015-01-01T00:45:00Z,22124.219,42215.430
2015-01-01T01:00:00Z,21963.707,41937.865
2015-01-01T01:15:00Z,21815.755,44555.848
2015-01-01T01:30:00Z,21792.539,44034.142
2015-01-01T01:45:00Z,21292.531,43013.346
2015-01-01T02:00:00Z,21238.539,41971.711
2015-01-01T02:15:00Z,21010.431,41072.438
2015-01-01T02:30:00Z,21124.193,40181.473
2015-01-01T02:45:00Z,20785.571,39577.242
2015-01-01T03:00:00Z,20802.011,39010.352
2015-01-01T03:15:00Z,20398.084,38674.975
2015-01-01T03:30:00Z,20256.354,38350.575
2015-01-01T03:45:00Z,19676.855,38087.611
2015-01-01T04:00:00Z,19270.687,38041.529
2015-01-01T04:15:00Z,19974.311,38436.658
2015-01-01T04:30:00Z,20682.743,38502.353
2015-01-01T04:45:00Z,20870.747,38616.671
2015-01-01T05:00:00Z,21295.927,38649.368
2015-01-01T05:15:00Z,21671.271,39177.044
2015-01-01T05:30:00Z,21843.243,39597.041
2015-01-01T05:45:00Z,21869.406,40173.190
2015-01-01T06:00:00Z,22100.295,40300.196
2015-01-01T06:15:00Z,22298.083,41086.403
2015-01-01T06:30:00Z,22303.620,41478.971
2015-01-01T06:45:00Z,22421.795,41692.647
2015-01-01T07:00:00Z,22492.090,42128.296
2015-01-01T07:15:00Z,22293.681,42140.100
2015-01-01T07:30:00Z,22507.784,41621.772
2015-01-01T07:45:00Z,22396.952,41726.813
2015-01-01T08:00:00Z,22512.129,42179.915
2015-01-01T08:15:00Z,22643.547,42593.125
2015-01-01T08:30:00Z,22686.755,42870.428
2015-01-01T08:45:00Z,22581.727,43443.406
2015-01-01T09:00:00Z,22898.668,44240.813
2015-01-01T09:15:00Z,23202.918,44939.665
2015-01-01T09:30:00Z,23227.970,45486.271
2015-01-01T09:45:00Z,23301.036,46282.108
2015-01-01T10:00:00Z,23337.095,46687.138
2015-01-01T10:15:00Z,23338.367,47358.358
2015-01-01T10:30:00Z,23376.330,47981.513
2015-01-01T10:45:00Z,23284.129,48420.364
2015-01-01T11:00:00Z,23501.386,48908.217
2015-01-01T11:15:00Z,23464.555,49277.189
2015-01-01T11:30:00Z,23461.468,49591.428
2015-01-01T11:45:00Z,23340.246,50287.426
2015-01-01T12:00:00Z,23396.190,50326.093
2015-01-01T12:15:00Z,23117.699,50209.349
2015-01-01T12:30:00Z,23519.238,50122.403
2015-01-01T12:45:00Z,23274.628,50116.428
2015-01-01T13:00:00Z,23445.495,50068.598
2015-01-01T13:15:00Z,23260.263,49688.548
2015-01-01T13:30:00Z,23386.823,49533.507
2015-01-01T13:45:00Z,23305.262,49539.067
2015-01-01T14:00:00Z,23173.352,49468.636
2015-01-01T14:15:00Z,23459.840,49495.385
2015-01-01T14:30:00Z,23536.195,49601.394
2015-01-01T14:45:00Z,23761.950,49711.542
2015-01-01T15:00:00Z,23846.497,49964.334
2015-01-01T15:15:00Z,23474.414,50947.439
2015-01-01T15:30:00Z,23797.122,51802.991
2015-01-01T15:45:00Z,23826.456,53600.102
2015-01-01T16:00:00Z,23861.026,55442.979
2015-01-01T16:15:00Z,23746.109,57070.701
2015-01-01T16:30:00Z,23704.143,58095.165
2015-01-01T16:45:00Z,23746.003,58846.785
2015-01-01T17:00:00Z,24033.743,59578.121
2015-01-01T17:15:00Z,23585.952,59729.385
2015-01-01T17:30:00Z,23599.937,59784.943
2015-01-01T17:45:00Z,23242.241,59644.418
2015-01-01T18:00:00Z,23424.936,59499.844
2015-01-01T18:15:00Z,22950.465,58828.513
2015-01-01T18:30:00Z,23052.713,58348.174
2015-01-01T18:45:00Z,22927.741,57893.060
2015-01-01T19:00:00Z,22953.064,57148.265
2015-01-01T19:15:00Z,22480.018,56312.309
2015-01-01T19:30:00Z,22045.032,55480.811
2015-01-01T19:45:00Z,21971.434,54709.994
2015-01-01T20:00:00Z,22101.320,53956.533
2015-01-01T20:15:00Z,22085.747,53073.208
2015-01-01T20:30:00Z,21863.491,52290.741
2015-01-01T20:45:00Z,21791.802,51344.340
2015-01-01T21:00:00Z,21771.772,50765.767
2015-01-01T21:15:00Z,21778.449,54558.778
2015-01-01T21:30:00Z,21644.649,53576.342
2015-01-01T21:45:00Z,21760.901,52269.372
2015-01-01T22:00:00Z,21779.816,50605.416
2015-01-01T22:15:00Z,21506.327,48466.438
2015-01-01T22:30:00Z,21261.927,46900.069
2015-01-01T22:45:00Z,20864.398,45518.979
2015-01-01T23:00:00Z,20664.971,44174.446
2015-01-01T23:15:00Z,20528.069,44370.817
2015-01-01T23:30:00Z,20366.797,42536.992
2015-01-01T23:45:00Z,20022.681,40888.663
2015-01-02T00:00:00Z,19590.372,39949.863
2015-01-02T00:15:00Z,19360.055,39032.402
2015-01-02T00:30:00Z,19009.026,38389.231
2015-01-02T00:45:00Z,18868.864,37640.007
2015-01-02T01:00:00Z,18962.420,37415.111
2015-01-02T01:15:00Z,18471.958,39920.000
2015-01-02T01:30:00Z,18234.001,39547.863
2015-01-02T01:45:00Z,18227.025,38768.988
2015-01-02T02:00:00Z,18443.302,37930.976
2015-01-02T02:15:00Z,18440.650,37443.149
2015-01-02T02:30:00Z,18546.988,37081.277
2015-01-02T02:45:00Z,18523.436,36518.098
2015-01-02T03:00:00Z,18483.008,36297.277
2015-01-02T03:15:00Z,18581.866,36157.745
2015-01-02T03:30:00Z,18681.179,36041.750
2015-01-02T03:45:00Z,18933.247,36116.866
2015-01-02T04:00:00Z,19195.389,36413.918
2015-01-02T04:15:00Z,20238.657,36872.503
2015-01-02T04:30:00Z,21068.554,37132.074
2015-01-02T04:45:00Z,21371.696,37786.421
2015-01-02T05:00:00Z,21821.993,38399.814
2015-01-02T05:15:00Z,22471.727,39515.835
2015-01-02T05:30:00Z,22834.400,40301.070
2015-01-02T05:45:00Z,22889.730,41356.624
2015-01-02T06:00:00Z,23302.855,41912.150
2015-01-02T06:15:00Z,23574.143,43391.167
2015-01-02T06:30:00Z,23978.740,44135.303
2015-01-02T06:45:00Z,24157.399,45081.744
2015-01-02T07:00:00Z,24307.114,45860.530
2015-01-02T07:15:00Z,24465.068,46232.121
2015-01-02T07:30:00Z,24690.931,46239.662
2015-01-02T07:45:00Z,24680.439,46849.347
2015-01-02T08:00:00Z,24761.520,47811.160
